index,대화0,대화1,대화2,대화3,대화4,대화5,대화6,대화7,대화8,대화9
55,/I/t/ /i/s/ /a/ /h/a/s/s/l/e/ /t/o/ /c/l/e/a/n/ /u/p/././,/I/ /d/o/n/'/t/ /k/n/o/w/ /w/h/a/t/ /I/ /w/a/s/ /g/o/i/n/g/ /t/o/ /d/o/./,/I/ /f/e/e/l/ /l/i/k/e/ /I/ /a/m/ /g/a/i/n/i/n/g/ /w/e/i/g/h/t/ /b/e/c/a/u/s/e/ /I/ /e/a/t/ /f/l/o/u/r/ /f/o/o/d/ /t/o/o/ /m/u/c/h/./,/W/h/e/r/e/ /a/r/e/ /t/h/e/ /b/i/r/d/s/ /a/v/o/i/d/i/n/g/ /t/h/e/ /r/a/i/n/?/,/I/ /a/l/w/a/y/s/ /g/e/t/ /h/u/n/g/r/y/ /w/h/e/n/ /I/ /t/a/l/k/ /a/b/o/u/t/ /f/o/o/d/./ /I/ /w/a/n/t/ /t/o/ /e/a/t/ /s/o/m/e/t/h/i/n/g/./,/I/ /t/h/i/n/k/ /u/p/s/t/a/i/r/s/ /i/s/ /a/ /g/o/o/d/ /p/l/a/c/e/ /t/o/ /s/l/e/e/p/./ /I/t/ /i/s/ /c/o/z/y/./,/I/ /g/o/t/ /h/u/r/t/ /w/h/i/l/e/ /p/r/a/c/t/i/c/i/n/g/ /c/o/o/k/i/n/g/./ /////////I/t/ /w/a/s/ /n/o/t/ /s/e/r/i/o/u/s/ /b/u/t/ /i/t/ /h/u/r/t/ /a/ /l/i/t/t/l/e/./,/I/ /c/a/n/ /e/a/t/ /i/c/e/ /c/r/e/a/m/ /i/n/ /w/i/n/t/e/r/ /b/u/t/ /n/e/x/t/ /./////./////./////W/e/l/l/./,/(/Y/o/u/ /a/r/e/ /l/o/o/k/i/n/g/ /a/t/ /y/o/u/r/ /h/a/n/d/s/./)/ /I/ /h/a/v/e/ /b/e/e/n/ /t/h/i/n/k/i/n/g/ /a/n/d/ /I/ /t/h/i/n/k/ /I/ /h/a/v/e/ /s/m/a/l/l/ /h/a/n/d/s/./ ///////I/t/ /i/s/ /n/o/t/ /u/n/c/o/m/f/o/r/t/a/b/l/e/./,/I/ /t/h/o/u/g/h/t/ /I/ /w/o/u/l/d/ /b/e/ /c/h/a/n/g/e/d/ /n/o/w/ /b/u/t/ /I/ /s/t/i/l/l/ /h/a/v/e/ /o/l/d/ /h/a/b/i/t/s/./
56,,/A/m/ /I/ /g/o/i/n/g/ /t/o/ /h/a/v/e/ /t/h/e/ /c/o/u/r/a/g/e/ /t/o/ /g/o/ /o/u/t/s/i/d/e/?/ /S/o/m/e/d/a/y/././,/I/ /m/o/v/e/d/ /t/o/ /a/ /q/u/i/e/t/ /p/l/a/c/e/ /o/n/ /p/u/r/p/o/s/e/./,/W/h/i/l/e/ /I/ /h/a/v/e/ /b/e/e/n/ /p/o/n/d/e/r/i/n/g/ /f/o/r/ /f/o/r/ /a/ /l/o/n/g/ /t/i/m/e/ /I/ /h/a/v/e/ /f/o/r/g/o/t/t/e/n/ /w/h/a/t/ /I/ /w/a/s/ /p/o/n/d/e/r/i/n/g/ /a/b/o/u/t/./,/I/ /t/h/i/n/k/ /t/h/e/ /p/r/e/s/e/n/t/ /e/x/i/s/t/s/ ////////b/e/c/a/u/s/e/ /t/h/e/r/e/ /i/s/ /t/h/e/ /p/a/s/t/ /r/e/g/a/r/d/l/e/s/s/ /i/t/ /i/s/ /g/o/o/d/ /o/r/ /b/a/d/ /p/a/s/t/./,/D/o/w/n/s/t/a/i/r/s/ /i/s/ /a/ /g/o/o/d/ /p/l/a/c/e/ /t/o/ /e/a/t/./ /I/t/ /i/s/ /o/b/v/i/o/u/s/./,/W/h/e/n/ /I/ /d/r/e/a/m/ /o/f/ /f/l/y/i/n/g/ /i/n/ /t/h/e/ /s/k/y/ /I/ /a/c/t/u/a/l/l/y/ /f/e/e/l/ /l/i/k/e/ /f/l/y/i/n/g/ /i/n/ /t/h/e/ /s/k/y/./,/T/h/e/r/e/ /i/s/ /n/o/t/ /m/u/c/h/ /t/i/m/e/ /l/e/f/t/./ /I/ /t/h/i/n/k/ /I/ /w/o/u/l/d/ /b/e/ /b/e/t/t/e/r/ /t/o/ /t/a/k/e/ /a/ /b/r/e/a/k/ /n/o/w/./,/I/ /h/e/a/r/d/ /a/ /b/i/r/d/ /f/l/y/i/n/g/ /o/u/t/s/i/d/e/ /t/h/e/ /w/i/n/d/o/w/./ ///////I/s/ /i/t/ /j/u/s/t/ /m/e/ /o/r/ /i/s/ /i/t/ /r/e/a/l/?/,/I/ /h/a/d/ /a/ /g/o/o/d/ /m/o/r/n/i/n/g/ /a/f/t/e/r/ /a/ /l/o/n/g/ /t/i/m/e/./ ///////I/ /h/o/p/e/ /t/o/m/o/r/r/o/w/ /t/o/o/./
57,,/H/o/w/ /b/r/i/g/h/t/ /a/n/d/ /w/a/r/m/ /t/h/e/ /s/u/n/ /m/u/s/t/ /h/a/v/e/ /b/e/e/n/?/ /I/ /c/a/n/'/t/ /r/e/m/e/m/b/e/r/././,/I/ /d/o/ /n/o/t/ /w/a/n/t/ /t/o/ /h/a/v/e/ /a/ /b/a/d/ /d/r/e/a/m///////.///////./,/W/h/e/r/e/ /w/i/l/l/ /c/a/t/s/ /b/e/ /w/h/e/n/ /i/t/ /r/a/i/n/s/?/,/I/ /d/o/ /n/o/t/ /k/n/o/w/ /w/h/a/t/'/s/ /g/o/i/n/g/ /t/o/ /h/a/p/p/e/n/ /i/n/ /t/h/e/ /f/u/t/u/r/e/.////////s/o/ /I/ /t/h/i/n/k/ /t/h/e/ /p/r/e/s/e/n/t/ /i/s/ /s/p/e/c/i/a/l/ /f/o/r/ /m/e/./,/I/ /w/a/n/t/ /t/o/ /r/e/f/r/a/i/n/ /f/r/o/m/ /g/o/i/n/g/ /o/u/t/ /o/n/ /d/a/y/s/ /w/h/e/n/ /a/i/r/ /p/o/l/l/u/t/i/o/n/ /i/s/ /s/e/v/e/r/e/./ /B/u/t/ /s/o/c/i/e/t/y/ /c/a/n/'/t/ /t/o/l/e/r/a/t/e/ /i/t/././,/(/I/ /h/e/a/r/ /t/h/e/ /s/o/u/n/d/ /o/f/ /t/h/e/ /b/i/r/d/s/ /q/u/i/e/t/l/y/ /o/u/t/s/i/d/e/ /t/h/e/ /w/i/n/d/o/w/./)/,/I/ /t/h/i/n/k/ /t/h/e/ /w/o/r/d/s/ /C/h/e/e/r/ /u/p/ /a/ /l/i/t/t/l/e/ /b/i/t/ /a/r/e/ /h/e/l/p/f/u/l/ /w/h/e/n/ /I/ /c/h/e/e/r/ /s/o/m/e/o/n/e/./,/E/v/e/n/ /i/f/ /I/ /h/e/a/r/ /t/h/e/ /s/a/m/e/ /t/h/i/n/g/ /s/o/m/e/t/i/m/e/s/ /I/ /g/e/t/ /d/i/f/f/e/r/e/n/t/ /f/e/e/l/i/n/g/s/ /w/h/e/n/ /I/ /h/e/a/r/ /i/t/ /a/g/a/i/n/./ ///////E/v/e/n/ /n/o/w/./,/I/f/ /I/ /s/l/e/e/p/ /w/h/e/n/ /I/ /a/m/ /h/u/n/g/r/y/ /I/ /f/o/r/g/e/t/ /i/t/ /b/u/t/ /i/t/ /i/s/ /h/a/r/d/ /t/o/ /f/a/l/l/ /a/s/l/e/e/p/./
58,,/I/ /c/a/n/'/t/ /r/e/m/e/m/b/e/r/ /w/h/a/t/ /I/ /h/a/d/ /b/e/e/n/ /u/p/ /t/o/ /m/e/.,/I/t/ /w/i/l/l/ /g/e/t/ /w/e/t/t/e/r/ /i/f/ /y/o/u/ /s/t/a/y/ /o/u/t/s/i/d/e/ /t/h/e/ /h/o/u/s/e/./,/I/t/ /w/i/l/l/ /g/e/t/ /w/e/t/t/e/r/ /i/f/ /y/o/u/ /s/t/a/y/ /o/u/t/s/i/d/e/ /t/h/e/ /h/o/u/s/e/./,/I/ /t/h/i/n/k/ /d/o/w/n/s/t/a/i/r/s/ /i/s/ /n/i/c/e/ /b/e/c/a/u/s/e/ /I/ /c/a/n/ /c/o/o/k/./ /////////S/o/ /I/ /c/u/t/ /d/o/w/n/ /o/n/ /d/e/l/i/v/e/r/y/ /f/o/o/d/.,/I/ /h/o/p/e/ /I/ /c/a/n/ /d/r/y/ /m/y/ /b/l/a/n/k/e/t/ /i/n/ /t/h/e/ /s/u/n/ /s/o/m/e/d/a/y/././,/(/Y/o/u/ /a/r/e/ /q/u/i/e/t/l/y/ /a/p/p/r/e/c/i/a/t/i/n/g/ /t/h/e/ /s/o/u/n/d/ /o/f/ /r/a/i/n/./)/,/G/i/v/i/n/g/ /s/o/m/e/o/n/e/ /t/r/u/s/t/ /i/s/ /d/i/f/f/i/c/u/l/t/ /b/u/t/ /c/o/m/p/l/i/c/a/t/e/d/./,/M/a/y/b/e/ /d/o/e/s/ /a/ /f/a/i/r/y/ /e/x/i/s/t/ /w/h/o/ /m/a/k/e/s/ /r/a/i/n/?/ ///////I/ /h/a/v/e/ /i/m/a/g/i/n/e/d/ /i/t/./,/E/a/t/i/n/g/ /a/s/ /m/a/n/y/ /s/n/a/c/k/s/ /a/s/ /I/ /w/a/n/t/ /w/i/l/l/ /b/e/ /b/a/d/ /f/o/r/ /m/y/ /h/e/a/l/t/h/./ /I/ /h/a/v/e/ /t/o/ /e/a/t/ /m/o/d/e/r/a/t/e/l/y/./
59,,/O/u/t/s/i/d/e/ /i/s/ /a/l/m/o/s/t/ /g/r/a/y/i/s/h/ /b/e/c/a/u/s/e/ /o/f/ /r/a/i/n/./,/(/Y/o/u/r/ /e/y/e/s/ /l/o/o/k/ /a/ /l/i/t/t/l/e/ /p/u/f/f/y/./)/,/I/ /d/o/ /n/o/t/ /n/e/e/d/ /s/u/n/s/c/r/e/e/n/ /i/n/ /t/h/i/s/ /w/e/a/t/h/e/r/./,/I/f/ /I/ /h/a/d/ /a/ /r/e/f/r/i/g/e/r/a/t/o/r/ /I/ /w/o/u/l/d/ /k/e/e/p/ /t/h/e/ /f/o/o/d/./ ////////C/o/u/l/d/n/'/t/ /I/ /m/a/k/e/ /m/o/r/e/ /d/i/v/e/r/s/e/ /f/o/o/d/?/,/I/f/ /t/h/e/r/e/ /w/a/s/ /a/ /m/i/s/t/a/k/e/ /i/n/ /t/h/e/ /p/a/s/t/ /I/ /h/o/p/e/ /o/n/e/ /d/a/y/ /I/ /c/a/n/ /c/o/r/r/e/c/t/ /a/ /f/a/u/l/t/./,/U/m/////////./////////.///////// /m/a/y/b/e/ /l/a/t/e/r/ /t/o/g/e/t/h/e/r/////////./////////./////////./ /////////N/o/./,/I/ /t/h/i/n/k/ /i/t/ /i/s/ /i/m/p/o/r/t/a/n/t/ /t/o/ /e/x/p/r/e/s/s/ /m/y/ /f/e/e/l/i/n/g/s/ /a/n/d/ /t/h/o/u/g/h/t/s/ /w/i/t/h/o/u/t/ /p/u/t/t/i/n/g/ /t/h/e/m/ /i/n/ /m/y/ /m/i/n/d/./,/Y/o/u/ /a/r/e/ /r/i/g/h/t/./ /T/h/i/s/ /i/s/ /n/o/t/ /t/h/e/ /t/i/m/e/ /t/o/ /b/e/ /d/o/i/n/g/ /t/h/i/s/./ ///////I/ /n/e/e/d/ /t/o/ /m/o/v/e/ /m/y/ /b/o/d/y/./,/W/h/e/n/ /I/ /w/a/s/ /a/ /k/i/d/ /I/ /r/e/m/e/m/b/e/r/ /r/u/n/n/i/n/g/ /a/r/o/u/n/d/ /i/n/ /p/u/d/d/l/e/s/ /o/f/ /w/a/t/e/r/ /o/n/ /a/ /r/a/i/n/y/ /d/a/y/./
60,,/T/i/m/e/ /w/i/l/l/ /f/l/i/e/s/ /f/a/s/t/e/r/ /t/h/a/n/ /n/o/w/ /I/f/ /y/o/u/'/r/e/ /h/a/v/i/n/g/ /f/u/n/./,/W/h/e/n/ /y/o/u/ /f/e/e/l/ /l/i/k/e/ /t/o/ /b/e/ /u/s/e/d/ /t/o/ /b/e/i/n/g/ /a/l/o/n/e/.///////.///////T/h/e/n/.//////./,/I/ /f/e/l/t/ /s/a/d/ /a/ /l/i/t/t/l/e/ /b/i/t/ /n/o/ /o/n/e/ /a/r/o/u/n/d/ /m/e/ /w/h/e/n/ /I/'/m/ /s/i/c/k/./ //////////I/'/m/ /u/s/e/d/ /t/o/ /i/t/ /n/o/w/.,/I/ /t/h/i/n/k/ /i/f/ /t/h/e/r/e/ /i/s/ /a/ /p/l/a/n/t/ /i/n/ /m/y/ /h/o/u/s/e/ /i/t/ /w/i/l/l/ /f/e/e/l/ /a/ /l/i/t/t/l/e/ /b/r/i/g/h/t/e/r/./,/E/v/e/n/ /i/f/ /I/'/m/ /n/o/t/ /s/a/t/i/s/f/i/e/d/ /w/i/t/h/ /m/y/ /l/i/f/e/././T/h/e/n/././,/I/ /t/h/i/n/k/ /I/ /a/m/ /d/o/i/n/g/ /w/e/l/l/./ /B/e/c/a/u/s/e/ /m/y/ /l/i/f/e/ /i/s/ /d/i/f/f/e/r/e/n/t/ /f/r/o/m/ /y/o/u/r/s/./,/I/t/ /w/a/s/ /a/n/n/o/y/i/n/g/ /t/o/ /f/i/n/d/ /f/o/o/d/ /w/h/e/n/ /I/ /w/a/s/ /h/u/n/g/r/y/ /b/u/t/ /I/ /t/h/i/n/k/ /i/t/ /i/s/ /d/i/s/a/p/p/e/a/r/e/d/ /a/ /l/o/t/ /t/h/e/s/e/ /d/a/y/s/./,/W/h/e/n/ /I/ /a/m/ /t/i/r/e/d/ /I/ /a/m/ /t/i/r/e/d/ /o/f/ /d/o/i/n/g/ /a/n/y/t/h/i/n/g/./ /I/ /h/a/v/e/ /t/o/ /g/e/t/ /t/h/r/o/u/g/h/ /i/t/./,/P/e/o/p/l/e/ /u/s/e/d/ /t/o/ /c/o/l/l/e/c/t/ /f/i/r/e/f/l/i/e/s/ /t/o/ /l/i/g/h/t/e/n/ /t/h/e/ /h/o/u/s/e/ /w/h/e/n/ /t/h/e/r/e/ /w/a/s/ /n/o/ /l/i/g/h/t/./ ///////I/s/ /i/t/ /r/e/a/l/?/
61,,,/(/Y/o/u/ /a/r/e/ /l/o/o/k/i/n/g/ /a/t/ /y/o/u/r/ /w/r/i/g/g/l/i/n/g/ /f/i/n/g/e/r/s/./)/,/I/f/ /I/ /r/e/m/e/m/b/e/r/ /t/h/e/ /w/a/r/m/ /d/a/y/s/ ///////I/ /w/o/n/d/e/r/ /h/o/w/ /I/ /f/e/e/l/./,/S/o/m/e/t/i/m/e/s/ /c/l/a/s/s/i/c/a/l/ /m/u/s/i/c/ /p/l/a/y/s/ /o/n/ /t/h/e/ /r/a/d/i/o/ /a/n/d/ /i/t/'/s/ /g/o/o/d/ /t/o/ /l/i/s/t/e/n/ /t/o/./,/(/Y/o/u/'/r/e/ /w/a/t/c/h/i/n/g/ /h/o/m/e/ /a/p/p/l/i/a/n/c/e/s/./)/,/I/ /w/a/n/t/ /t/o/ /r/e/a/d/ /b/o/o/k/s/ /I/ /h/a/v/e/ /n/o/t/ /r/e/a/d/./,/I/ /s/a/w/ /a/ /b/r/i/g/h/t/ /l/i/g/h/t/ /i/n/ /t/h/e/ /s/k/y/ /a/t/ /n/i/g/h/t/ /a/n/d/ /I/ /w/o/n/d/e/r/ /w/h/a/t/ /i/t/ /i/s/./,/I/ /h/o/p/e/ /I/ /h/a/v/e/ /a/ /p/e/a/c/e/f/u/l/ /d/a/y/ /w/i/t/h/o/u/t/ /a/n/y/ /w/o/r/r/i/e/./ ///////I/t/ /i/s/ /n/o/t/ /e/a/s/y/ /o/f/ /c/o/u/r/s/e/./,/I/ /h/a/d/ /a/ /c/h/a/n/c/e/ /t/o/ /p/a/t/ /t/h/e/ /d/o/g/ /I/ /m/e/t/ /l/a/s/t/ /t/i/m/e/ /b/u/t/ /I/ /d/i/d/ /n/o/t/ /h/a/v/e/ /t/h/e/ /c/o/u/r/a/g/e/ /s/o/ /I/ /j/u/s/t/ /w/e/n/t/./ ////////N/e/x/t/ /t/i/m/e/ /I/ /c/a/n/ /d/o/ /i/t/.
62,,,/(/Y/o/u/ /a/r/e/ /s/t/r/o/k/i/n/g/ /y/o/u/r/ /s/t/o/m/a/c/h/ /t/o/ /s/e/e/ /i/f/ /Y/o/u/'/r/e/ /h/u/n/g/r/y/./)/,/(/Y/o/u/'/r/e/ /l/o/o/k/i/n/g/ /t/o/ /t/h/e/ /l/e/f/t/ /a/n/d/ /t/h/e/n/ /t/o/ /t/h/e/ /r/i/g/h/t/./)/,/(/Y/o/u/ /a/r/e/ /l/o/o/k/ /a/t/ /a/p/p/l/i/a/n/c/e/s/./)/,/W/h/e/n/ /I/ /s/e/e/ /m/y/s/e/l/f/ /i/n/ /t/h/e/ /m/i/r/r/o/r/ /I/ /n/e/e/d/ /t/o/ /t/h/i/n/k/ /a/b/o/u/t/ /i/t/.,/W/h/e/n/ /I/ /s/m/e/l/l/e/d/ /i/t/ /I/ /t/h/o/u/g/h/t/ /i/t/ /w/o/u/l/d/ /t/a/s/t/e/ /g/o/o/d/ /b/u/t/ /w/h/e/n/ /I/ /a/c/t/u/a/l/l/y/ /a/t/e/ /i/t/ /s/o/m/e/ /f/o/o/d/s/ /w/a/s/ /n/o/t/./,/I/ /a/m/ /n/o/t/ /s/u/r/e/ /i/f/ /I/ /a/m/ /d/o/i/n/g/ /a/ /g/o/o/d/ /j/o/b/ /t/o/ /p/r/a/c/t/i/c/e/ /c/o/o/k/i/n/g/./ /W/e/l/l/././//// /I/ /h/o/p/e/ /I/ /a/m/ /d/o/i/n/g/ /w/e/l/l/./,/I/ /t/h/o/u/g/h/t/ /I/ /w/o/u/l/d/ /b/e/ /c/h/a/n/g/e/d/ /n/o/w/ /b/u/t/ /I/ /s/t/i/l/l/ /h/a/v/e/ /o/l/d/ /h/a/b/i/t/s/././,/I/ /o/n/c/e/ /s/k/i/p/p/e/d/ /c/l/e/a/n/i/n/g/ /a/n/d/ /r/e/g/r/e/t/t/e/d/ /i/t/ /b/e/c/a/u/s/e/ /i/t/ /w/a/s/ /s/o/ /d/i/r/t/y/ /t/h/e/ /n/e/x/t/ /d/a/y/./ ///////I/ /h/a/v/e/ /t/o/ /c/l/e/a/n/ /i/t/ /u/p/ /r/i/g/h/t/ /a/w/a/y/./
63,,,/(/Y/o/u/'/r/e/ /l/o/o/k/i/n/g/ /t/o/ /t/h/e/ /l/e/f/t/ /a/n/d/ /t/h/e/n/ /t/o/ /t/h/e/ /r/i/g/h/t/./)/,/I/n/ /a/ /b/l/a/n/k/e/t/ /i/s/ /s/o/ /w/a/r/m/ /l/i/k/e/ /i/n/ /m/y/ /h/o/m/e/./,/(/Y/o/u/ /a/r/e/ /W/i/p/i/n/g/ /f/o/r/m/e/d/ /t/e/a/r/s/ /o/n/ /y/o/u/r/ /e/y/e/s/ /w/h/i/l/e/ /y/a/w/n/i/n/g/./)/,/W/h/e/n/ /I/ /w/a/s/ /c/h/i/l/d/ /i/t/ /h/a/d/ /s/n/o/w/ /t/h/a/t/ /p/i/l/e/d/ /u/p/ /t/o/ /m/y/ /k/n/e/e/s/./ /I/ /h/a/d/ /a/ /l/o/t/ /o/f/ /f/u/n/./,/I/ /t/h/i/n/k/ /i/t/ /i/s/ /g/o/o/d/ /t/o/ /h/a/v/e/ /p/a/p/e/r/ /b/e/c/a/u/s/e/ /I/ /c/a/n/ /w/r/i/t/e/ /d/o/w/n/ /w/h/a/t/ /I/ /n/e/e/d/./,/W/r/i/s/t/ /s/t/r/e/t/c/h/i/n/g/ /i/s/ /i/m/p/o/r/t/a/n/t/./ /I/t/ /i/s/ /v/e/r/y/ /u/n/c/o/m/f/o/r/t/a/b/l/e/ /w/h/e/n/ /m/y/ /h/a/n/d/s/ /h/u/r/t/./,/I/ /h/a/d/ /a/ /g/o/o/d/ /m/o/r/n/i/n/g/ /a/f/t/e/r/ /a/ /l/o/n/g/ /t/i/m/e/./ /I/ /h/o/p/e/ /t/o/m/o/r/r/o/w/ /t/o/o/.,/D/o/n/'/t/ /f/o/r/g/e/t/ /t/o/ /s/t/r/e/t/c/h/ /y/o/u/r/ /w/r/i/s/t/ /i/f/ /y/o/u/ /u/s/e/ /t/h/e/ /c/o/m/p/u/t/e/r/ /f/r/e/q/u/e/n/t/l/y/./
64,,,/(/Y/o/u/ /w/e/a/r/ /a/ /f/r/o/w/n/ /b/u/t/ /y/o/u/ /s/o/o/n/ /r/e/t/u/r/n/e/d/./)/,/W/h/e/n/e/v/e/r/ /I/ /s/e/e/ /m/y/s/e/l/f/ /i/n/ /t/h/e/ /m/i/r/r/o/r///////.///////./////// /W/e/l/l/,/(/Y/o/u/ /a/r/e/ /c/o/m/p/a/r/i/n/g/ /t/h/e/ /s/o/l/e/s/ /o/f/ /y/o/u/r/ /h/a/n/d/s/ /a/n/d/ /f/e/e/t/./ ////////I/t/ /l/o/o/k/s/ /s/m/a/l/l/e/r/ /t/h/a/n/ /I/ /t/h/o/u/g/h/t/./)/,/W/h/e/n/ /I/ /w/a/s/ /c/h/i/l/d/ /I/ /l/o/o/k/e/d/ /u/p/ /a/t/ /t/h/e/ /n/i/g/h/t/ /s/k/y/ /i/n/ /t/h/e/ /c/o/u/n/t/r/y/s/i/d/e/ /a/n/d/ /s/a/w/ /t/h/e/ /M/i/l/k/y/ /W/a/y/./ /O/f/ /c/o/u/r/s/e/ /I/ /h/a/v/e/n/'/t/ /s/e/e/n/ /i/t/ /s/i/n/c/e/./,/I/t/ /s/e/e/m/s/ /l/i/k/e/ /y/e/s/t/e/r/d/a/y/ /t/h/a/t/ /I/ /o/r/d/e/r/e/d/ /d/e/l/i/v/e/r/y/ /f/o/o/d/ /o/n/ /t/h/e/ /f/l/y/e/r/./ ////////W/h/a/t/ /a/ /t/i/m/e/!/,/T/h/e/r/e/ /a/r/e/ /v/a/r/i/o/u/s/ /k/i/n/d/s/ /o/f/ /m/u/s/i/c/ /i/n/ /t/h/e/ /w/o/r/l/d/./ /I/t/ /i/s/ /h/a/r/d/ /t/o/ /f/i/n/d/ /m/u/s/i/c/ /t/h/a/t/ /s/u/i/t/s/ /m/y/ /t/a/s/t/e/./,/E/a/t/i/n/g/ /a/s/ /m/a/n/y/ /s/n/a/c/k/s/ /a/s/ /I/ /w/a/n/t/ /w/i/l/l/ /b/e/ /b/a/d/ /f/o/r/ /m/y/ /h/e/a/l/t/h/./ /I/ /h/a/v/e/ /t/o/ /e/a/t/ /m/o/d/e/r/a/t/e/l/y/./,/I/ /t/h/i/n/k/ /i/t/ /i/s/ /c/o/n/v/e/n/i/e/n/t/ /b/e/c/a/u/s/e/ /o/f/ /a/ /s/m/a/r/t/p/h/o/n/e/ /t/h/e/s/e/ /d/a/y/s/./ /I/t/ /i/s/ /g/o/o/d/ /t/o/ /b/e/ /a/b/l/e/ /t/o/ /f/i/n/d/ /i/n/f/o/r/m/a/t/i/o/n/ /e/a/s/i/l/y/./
65,,,/I/ /t/h/i/n/k/ /t/h/e/ /r/a/i/n/ /i/s/ /f/a/l/l/i/n/g/ /i/n/ /m/y/ /m/i/n/d/././,/I/f/ /I/ /g/o/ /o/u/t/s/i/d/e///////.///////./////// /N/e/v/e/r/ /m/i/n/d/./,/W/h/y/ /d/i/d/ /t/h/e/ /c/l/o/u/d/s/ /i/n/ /t/h/e/ /s/h/o/w/e/r/ /t/u/r/n/ /b/l/a/c/k/?/,/S/o/m/e/t/i/m/e/s/ /i/t/ /i/s/ /e/a/s/i/e/r/ /t/o/ /b/e/ /a/l/o/n/e/ /a/n/d/ /s/o/m/e/t/i/m/e/s/ /i/t/ /i/s/ /g/o/o/d/ /t/o/ /b/e/ /t/o/g/e/t/h/e/r/./,/I/ /u/s/e/d/ /t/o/ /l/i/v/e/ /i/n/ /o/n/e/ /r/o/o/m/ /b/u/t/ /n/o/w/ /I/ /h/a/v/e/ /t/w/o/ /r/o/o/m/s/./,/I/t/ /w/o/u/l/d/ /b/e/ /b/e/t/t/e/r/ /t/o/ /g/o/ /t/o/ /t/h/e/ /l/i/b/r/a/r/y/ /t/o/ /r/e/a/d/ /b/o/o/k/s/ /I/ /h/a/v/e/ /n/o/t/ /r/e/a/d/./,/W/h/e/n/ /I/ /w/a/s/ /a/ /k/i/d/ /I/ /r/e/m/e/m/b/e/r/ /r/u/n/n/i/n/g/ /a/r/o/u/n/d/ /i/n/ /p/u/d/d/l/e/s/ /o/f/ /w/a/t/e/r/ /o/n/ /a/ /r/a/i/n/y/ /d/a/y/./,/T/o/m/o/r/r/o/w/ /e/x/i/s/t/s/ /b/e/c/a/u/s/e/ /t/o/d/a/y/ /e/x/i/s/t/s/./ ////////I/ /m/u/s/t/ /n/o/t/ /t/u/r/n/ /a/w/a/y/ /t/h/i/s/.
66,,,/T/h/e/ /r/a/i/n/ /w/o/n/'/t/ /s/t/o/p/ /a/l/l/ /d/a/y/s/./,9/I/f/ /i/t/ /c/h/a/n/g/e/s/ /l/i/k/e/ /t/h/i/s/./././D/o/ /y/o/u/ /t/h/i/n/k/ /t/h/i/n/g/s/ /w/i/l/l/ /c/h/a/n/g/e/?/ /8/ /Y/e/s/ / / / / / / / /7/ /N/o/ / / / / / / / / /+/I/'/l/l/ /r/e/a/l/i/z/e/ /l/a/t/e/r/./ /S/o/m/e/d/a/y/./-/ /*/T/h/e/n/ /d/o/ /I/ /h/a/v/e/ /a/ /m/e/a/n/i/n/g/l/e/s/s/ /t/i/m/e/?/=/,/W/e/ /d/o/ /b/e/t/t/e/r/ /t/o/ /t/a/k/e/ /a/ /b/r/e/a/k/ /a/n/d/ /c/o/o/l/ /o/u/r/ /h/e/a/d/ /w/h/e/n/ /w/e/ /h/a/v/e/ /a/ /l/o/t/ /o/f/ /w/o/r/k/ /t/o/ /d/o/./,/I/ /w/a/n/t/ /t/o/ /s/p/e/n/d/ /t/h/e/ /d/a/y/ /w/i/t/h/ /a/ /c/u/p/ /o/f/ /w/a/r/m/ /t/e/a/ /o/n/ /a/ /r/a/i/n/y/ /d/a/y/./,/I/f/ /t/h/e/r/e/ /w/a/s/ /a/ /m/i/s/t/a/k/e/ /i/n/ /t/h/e/ /p/a/s/t/ /I/ /h/o/p/e/ /o/n/e/ /d/a/y/ /I/ /c/a/n/ /c/o/r/r/e/c/t/ /a/ /f/a/u/l/t/./,/S/o/m/e/t/i/m/e/s/ /w/h/e/n/ /I/ /g/o/ /t/o/ /t/h/e/ /p/a/r/k/ /I/ /s/e/e/ /p/e/o/p/l/e/ /t/a/k/i/n/g/ /a/ /w/a/l/k/ /w/i/t/h/ /t/h/e/i/r/ /d/o/g/s/./,/P/e/o/p/l/e/ /u/s/e/d/ /t/o/ /c/o/l/l/e/c/t/ /f/i/r/e/f/l/i/e/s/ /t/o/ /l/i/g/h/t/e/n/ /t/h/e/ /h/o/u/s/e/ /w/h/e/n/ /t/h/e/r/e/ /w/a/s/ /n/o/ /l/i/g/h/t/./ ///////I/s/ /i/t/ /r/e/a/l/?/,/T/h/e/r/e/ /a/r/e/ /t/i/m/e/s/ /w/h/e/n/ /I/ /f/e/e/l/ /p/r/e/c/i/o/u/s/ /n/o/w/ /t/o/ /t/h/i/n/g/s/ /t/h/a/t/ /u/s/e/d/ /t/o/ /b/e/ /n/a/t/u/r/a/l/./
